WKT,nome,descrição
"POINT (-38.4833571 -12.9964078)",Centro Municipal De Educacao Infantil Virgem De La Almudena,
"POINT (-38.4810284 -12.9935458)",Reforço Escolar Recanto do Saber,
"POINT (-38.4868945 -12.9950401)",Colégio Bom Pastor,
"POINT (-38.4822143 -12.995575)",Escola Profissional de Músicos de Rua Pracatum,
"POINT (-38.4822215 -12.9952991)",Pracatum Inglês,
"POINT (-38.4842544 -12.9918325)",Colégio Estadual Luis Viana,
"POINT (-38.4814108 -12.995271)",DAIANE FERREIRA ENGENHEIRA CIVIL,
"POINT (-38.50285929999999 -13.0055526)",Colégio Estadual Evaristo Da Veiga - Tempo Integral,
"POINT (-38.5032775 -13.0064128)",Escola Municipal Sao Domingos Savio,
"POINT (-38.5082661 -13.0062251)",Centro de Educação Especial da Bahia CEEBA,
"POINT (-38.5081047 -13.0099986)",Colégio Carpe Diem - Ondina,
"POINT (-38.5127854 -13.0093874)",Escola Dorilândia,
"POINT (-38.4676008 -12.9738133)",Creche Escola Nossa Senhora Das Gracas,
"POINT (-38.49805300000001 -12.9681137)",Escola Nossa Senhora das Graças,
"POINT (-38.4957853 -12.987485)",Centro Municipal De Educacao Infantil Iacy Vaz Fagundes,
"POINT (-38.5185962 -12.9973029)",CCAA Graça,
"POINT (-38.5196007 -12.9979847)",Pequenópolis,
"POINT (-38.52140329999999 -12.9973808)",inFlux Salvador Graça: Cursos de Inglês Espanhol Idiomas em Bahia,
"POINT (-38.5252034 -12.9965535)",Centro Municipal De Educacao Infantil Nossa Senhora Da Vitoria,
"POINT (-38.52680959999999 -12.9978819)",R.Teixeira Leal 10-G,
"POINT (-38.522687 -13.0004767)",Vila Zebalusky - Centro Infantil de Arte e Linguagem,
"POINT (-38.5230787 -13.0030383)",Escola Kimimo,
"POINT (-38.5253705 -13.0043366)",Escola Pantheon,
"POINT (-38.52628789999999 -13.0044878)",Arte & Manha Escola e Creche,
"POINT (-38.5217103 -13.0072684)",Colégio Miró,
"POINT (-38.52871359999999 -13.0088479)",Escola Movimento - Aulas particulares de inglês espanhol português e redação,
"POINT (-38.52815559999999 -13.0049395)",IEM - Instituto de Educação Musical,
"POINT (-38.5307388 -13.0054378)",OGW Centro de Treinamento Esportivo,
"POINT (-38.53278780000001 -13.0031312)",Escolinha de futevôlei porto da barra: Team junior,
"POINT (-38.5284433 -13.0015796)",Equipe Bae,
"POINT (-38.47799719999999 -12.9836646)",Colégio Ponto Alto - Brotas e São Rafael,
"POINT (-38.4946973 -12.9793465)",Educandário Nova Geracao,
"POINT (-38.49910389999999 -12.9807998)",Colégio Resgate - Brotas,
"POINT (-38.5005961 -12.9809431)",Escola Municipal Visconde De Cairu De Brotas,
"POINT (-38.4905697 -12.9891084)",Escola Borboleta Pintora,
"POINT (-38.4983413 -12.9909883)",COLÉGIO ÓPERA,
"POINT (-38.49194589999999 -12.9940789)",Escola Arco-Íris,
"POINT (-38.48316259999999 -12.9888837)",Escola Ponto de Partida,
"POINT (-38.4788086 -12.9812795)",Escola Mundo Encantado,
"POINT (-38.50047469999999 -13.0013485)",Escola Casa Via Magia,
"POINT (-38.50094889999999 -13.0025361)",Escolinha Mundo dos Sonhos,
"POINT (-38.49581839999999 -12.9996106)",Escola Nossa Infância,
"POINT (-38.50461689999999 -12.9977365)",Escola Motivar,
"POINT (-38.5103015 -12.9996338)",Escola Politécnica da UFBA,
"POINT (-38.505825 -12.9950447)",Escola Ana Bela,
"POINT (-38.50097400000001 -12.9934737)",Escol,
"POINT (-38.512241 -12.9977854)",Escola Municipal Professor Antonio Carlos Onofre,
"POINT (-38.50403389999999 -12.9922845)",Escola Municipal Madre Judite,
"POINT (-38.49129939999999 -12.9729916)",Educandário Helita Vieira - Vila Laura,
"POINT (-38.4914372 -12.9723575)",Escola Risque e Rabisque,
"POINT (-38.4908048 -12.9718667)",Escola Experimental,
"POINT (-38.4899445 -12.9716398)",Escola Experimental Pré Escolar,
"POINT (-38.49156939999999 -12.9716916)",Escola APRIMORA,
"POINT (-38.48794559999999 -12.9695204)",ISO,
"POINT (-38.4888871 -12.9701683)",Colégio Estadual Frederico Costa,
"POINT (-38.49193269999999 -12.9707211)",Berçário e Escola Venha Mundo,
"POINT (-38.486211 -12.975686)",Escola Municipal Luiz Anselmo,
"POINT (-38.51163159999999 -12.9820606)",Escola Municipal Cosme De Farias,
"POINT (-38.4889409 -12.9812631)",Colegio Estadual Cosme De Farias,
"POINT (-38.4901583 -12.9527088)",Escola Municipal Pero Vaz Velho,
"POINT (-38.488838 -12.9536399)",Centro Educacional Tempestade de Esperança,
"POINT (-38.4875409 -12.9547278)",Colegio Cidade,
"POINT (-38.4865824 -12.9551343)",Centro Educacional Carneiro Ribeiro - Classe II,
"POINT (-38.4947028 -12.9583484)",Escola Trenzinho da Alegria,
"POINT (-38.4907232 -12.9518273)",Centro Educacional Carneiro Ribeiro - Classe I,
"POINT (-38.5070111 -12.9324412)",SENAI Dendezeiros,
"POINT (-38.4736574 -12.8700402)",Escola Municipal de Periperi,
"POINT (-38.467598 -12.8739133)",Escola Municipal Mirantes De Periperi,
"POINT (-38.47688470000001 -12.865275)",Escola Municipal Anfilófio de Carvalho professores,
"POINT (-38.4719818 -12.8670912)",Escola Santo Inácio,
"POINT (-38.4724148 -12.863898)",Instituto Social Pindorama,
"POINT (-38.47158339999999 -12.8643356)",Colégio Célestin Freinet,
"POINT (-38.47050749999999 -12.8647349)",Escola Bem Me Quer,
"POINT (-38.4724715 -12.8655149)",Colégio Viver Educação,
"POINT (-38.4719818 -12.8670912)",Colégio Estadual Nelson Mandela,
"POINT (-38.47190819999999 -12.8666279)",Creche e Pré-escola Primeiro Passo Periperi,
"POINT (-38.4833224 -12.9020556)",CENTRO EDUCACIONAL RAIMUNDO NONATO COSTA,
"POINT (-38.4738069 -12.8969658)",EBA - EDUCANDÁRIO BORBOLETA AZUL,
"POINT (-38.4814497 -12.88978)",escola barilandia,
"POINT (-38.47772889999999 -12.8899264)",Colégio Estadual Josias De Almeida Melo,
"POINT (-38.481098 -12.8916097)",Colégio Jorge Amado,
"POINT (-38.4776995 -12.8910546)",Escola Antonio Cordeiro,
"POINT (-38.4863717 -12.8948767)",Rua da areia plataforma,
"POINT (-38.486968 -12.8975757)",Centro Educacional Carvalho Pessoa,
"POINT (-38.48962459999999 -12.8994992)",Escola Municipal de Plataforma,
"POINT (-38.4925069 -12.9479243)",Escola Municipal Piraja Da Silva,
"POINT (-38.45844779999999 -12.903601)",Escola Municipal Campinas De Piraja,
"POINT (-38.4659243 -12.9017788)",Escola Municipal General Labatut,
"POINT (-38.4652189 -12.9018108)",Escola Teodoro Sampaio,
"POINT (-38.4611758 -12.9019851)",Escola Tio Patinhas,
"POINT (-38.4597952 -12.8978933)",Escola Municipal Profª Alexandrina Santos Pita,
"POINT (-38.45231619999999 -12.8946627)",Centro Educacional Evolução Infantil,
"POINT (-38.45604679999999 -12.8931282)",Colégio Estadual Cesare Casali,
"POINT (-38.48061560000001 -12.9396307)",Escola Dom Avelar Brandao Vilela,
"POINT (-38.44911189999999 -12.9035137)",Escola Municipal D Isabel Brandao Vilela,
"POINT (-38.4493827 -12.903759)",Colégio Estadual Conselheiro Vicente Pacheco De Oliveira,
"POINT (-38.44737360000001 -12.9046226)",centro educacional ideal,
"POINT (-38.444861 -12.9045253)",Escola Passos Para O Futuro,
"POINT (-38.44776469999999 -12.9013221)",Colégio estilo,
"POINT (-38.44900989999999 -12.9031556)",Centro Municipal De Educacao Infantil Anival Razoni Figueiredo,
"POINT (-38.446804 -12.9019982)",Dom Avelar,
"POINT (-38.445362 -12.902428)",Escola Cantinho do Guri,
"POINT (-38.44779289999999 -12.9008742)",Clube de Mães de Dom Avelar - Educandário e Creche Renovação,
"POINT (-38.4380123 -12.9061299)",Escola Municipal de Castelo Branco,
"POINT (-38.442459 -12.90421)",Colégio Adventista de Castelo Branco,
"POINT (-38.4422199 -12.9039898)",Escola Classe-Centro de Aprendizagem,
"POINT (-38.4407971 -12.9027663)",Escola boa semente,
"POINT (-38.4404312 -12.9035006)",Escola Municipal Arlete Magalhães,
"POINT (-38.4349921 -12.9084226)",Centro Municipal De Educacao Infantil Unidos De Castelo Branco,
"POINT (-38.40076919999999 -12.8992899)",Escola Municipal Fazenda Grande Ii Ministro Carlos Santana,
"POINT (-38.40200759999999 -12.9004121)",Colégio Superior LTDA,
