WKT,nome,descrição,Tipo,cor,longitude,latitude
POINT (-38.43213110000001 -12.8910142),Centro de Educação Recanto Verde,,Centro de formação e educação,#EC2505,-38.43213110000001,-12.8910142
POINT (-38.4380002 -12.929163),Centro Educacional São Marcos,,Centro de formação e educação,#EC2505,-38.4380002,-12.929163
POINT (-38.3541292 -12.8863183),Centro Educacional Conhecimento,,Centro de formação e educação,#EC2505,-38.3541292,-12.8863183
POINT (-38.4944201 -12.9529475),Centro Educacional SALES,,Centro de formação e educação,#EC2505,-38.4944201,-12.9529475
POINT (-38.4001028 -12.8984681),Centro Educacional Educcar,,Centro de formação e educação,#EC2505,-38.4001028,-12.8984681
POINT (-38.3771346 -12.9085874),Centro Educacional Andrade,,Centro de formação e educação,#EC2505,-38.3771346,-12.9085874
POINT (-38.5118242 -12.9938896),Centro Educacional Edgard Santos,,Centro de formação e educação,#EC2505,-38.5118242,-12.9938896
POINT (-38.4877605 -12.9621995),Centro Educacional Cidade Nova,,Centro de formação e educação,#EC2505,-38.4877605,-12.9621995
POINT (-38.4629958 -12.9548628),Prime Profissionalizante,,Centro de formação e educação,#EC2505,-38.4629958,-12.9548628
POINT (-38.4081847 -12.8995151),Instituto Mix - Salvador (Cajazeiras),,Centro de formação e educação,#EC2505,-38.4081847,-12.8995151
POINT (-38.4637359 -12.9663276),Prepara Cursos Pernambués,,Centro de formação e educação,#EC2505,-38.4637359,-12.9663276
POINT (-38.4431123 -12.9208804),Prepara Cursos,,Centro de formação e educação,#EC2505,-38.4431123,-12.9208804
POINT (-38.3477565 -12.8945705),Realizar Profissões,,Centro de formação e educação,#EC2505,-38.3477565,-12.8945705
POINT (-38.4716098 -12.840088),Instituto Bourbon de Educação - Paripe,,Centro de formação e educação,#EC2505,-38.4716098,-12.840088
POINT (-38.52186369999999 -12.9876258),CEBRAC,,Centro de formação e educação,#EC2505,-38.52186369999999,-12.9876258
POINT (-38.5067719 -12.9782795),Grau Profissionalizante - Salvador Fonte Nova,,Centro de formação e educação,#EC2505,-38.5067719,-12.9782795
POINT (-38.4482332 -12.9891502),Sebrae Bahia - Sede Administrativa (BA),,Centro de formação e educação,#EC2505,-38.4482332,-12.9891502
POINT (-38.4984914 -12.9381297),Sebrae Salvador - Uruguai/Itapagipe (BA),,Centro de formação e educação,#EC2505,-38.4984914,-12.9381297
POINT (-38.51373220000001 -12.9830493),Sebrae Salvador - Center Lapa (BA),,Centro de formação e educação,#EC2505,-38.51373220000001,-12.9830493
POINT (-38.4482002 -12.9891486),Sebrae Salvador - Agência Costa Azul,,Centro de formação e educação,#EC2505,-38.4482002,-12.9891486
POINT (-38.4744252 -12.996371),Sebraelab Bahia,,Centro de formação e educação,#EC2505,-38.4744252,-12.996371
POINT (-38.4744634 -12.996573),Sebrae Ecos,,Centro de formação e educação,#EC2505,-38.4744634,-12.996573
POINT (-38.5016153 -12.9538319),Sesc São Joaquim,,Centro de formação e educação,#EC2505,-38.5016153,-12.9538319
POINT (-38.5035299 -12.9757857),SESC Nazaré,,Centro de formação e educação,#EC2505,-38.5035299,-12.9757857
POINT (-38.3874942 -12.954885),Sesc Piatã,,Centro de formação e educação,#EC2505,-38.3874942,-12.954885
POINT (-38.5100089 -12.9700034),Sesc Comércio,,Centro de formação e educação,#EC2505,-38.5100089,-12.9700034
POINT (-38.5044179 -12.9692904),Sesc Aquidaba,,Centro de formação e educação,#EC2505,-38.5044179,-12.9692904
POINT (-38.5136371 -12.9758677),Sesc Rua Chile,,Centro de formação e educação,#EC2505,-38.5136371,-12.9758677
POINT (-38.50909660000001 -12.9733679),Centro de Formação Profissional SESC,,Centro de formação e educação,#EC2505,-38.50909660000001,-12.9733679
POINT (-38.501707 -12.9538047),Programa Mesa Brasil - Sesc Bahia,,Centro de formação e educação,#EC2505,-38.501707,-12.9538047
POINT (-38.4562415 -12.9798499),Sesc Casa do Comércio,,Centro de formação e educação,#EC2505,-38.4562415,-12.9798499
POINT (-38.4107435 -12.9376671),Centro Universitário Jorge Amado Campus Paralela,,Centro de formação e educação,#EC2505,-38.4107435,-12.9376671
POINT (-38.3920763 -12.934439),UNIFTC - SALVADOR,,Centro de formação e educação,#EC2505,-38.3920763,-12.934439
POINT (-38.4133785 -12.9485141),Universidade Católica do Salvador - UCSal,,Centro de formação e educação,#EC2505,-38.4133785,-12.9485141
POINT (-38.4313397 -12.9611363),Centro Universitário UniRuy - Wyden,,Centro de formação e educação,#EC2505,-38.4313397,-12.9611363
POINT (-38.4219937 -12.9695405),UNICEUSA - Centro Universitário de Salvador,,Centro de formação e educação,#EC2505,-38.4219937,-12.9695405
